District,Total,Date
Thoothukudi,83663,06-05-2021
Tiruchirapalli,224971,06-05-2021
Tirunelveli,77637,06-05-2021
Tirupathur,70764,06-05-2021
Tiruppur,140674,06-05-2021
Tiruvallur,192741,06-05-2021
Tiruvannamalai,86320,06-05-2021
Tiruvarur,47873,06-05-2021
Vellore,175704,06-05-2021
Villupuram,109733,06-05-2021
Virudhunagar,195782,06-05-2021
Ariyalur,23022,07-04-2021
Chengalpattu,136391,07-04-2021
Chennai,859997,07-04-2021
Coimbatore,210798,07-04-2021
Cuddalore,81335,07-04-2021
Dharmapuri,52007,07-04-2021
Dindigul,70189,07-04-2021
Erode,74568,07-04-2021
Kallakurichi,34570,07-04-2021
Kancheepuram,38553,07-04-2021
Kanniyakumari,64074,07-04-2021
Karur,36568,07-04-2021
Krishnagiri,87525,07-04-2021
Madurai,135747,07-04-2021
Nagapattinam,33791,07-04-2021
Namakkal,85860,07-04-2021
The Nilgiris,78776,07-04-2021
Perambalur,21594,07-04-2021
Pudukkottai,46085,07-04-2021
Ramanathapuram,37104,07-04-2021
Ranipet,25032,07-04-2021
Salem,207909,07-04-2021
Sivagangai,39410,07-04-2021
Tenkasi,36010,07-04-2021
Thanjavur,85328,07-04-2021
Theni,30172,07-04-2021
Thoothukudi,40451,07-04-2021
Tiruchirapalli,122208,07-04-2021
Tirunelveli,41431,07-04-2021
Tirupathur,33856,07-04-2021
Tiruppur,74267,07-04-2021
Tiruvallur,97690,07-04-2021
Tiruvannamalai,48316,07-04-2021
Tiruvarur,22535,07-04-2021
Vellore,94093,07-04-2021
Villupuram,76269,07-04-2021
Virudhunagar,117326,07-04-2021
Ariyalur,45522,07-05-2021
Chengalpattu,270924,07-05-2021
Chennai,1567071,07-05-2021
Coimbatore,434652,07-05-2021
Cuddalore,152871,07-05-2021
Dharmapuri,93494,07-05-2021
Dindigul,146274,07-05-2021
Erode,147626,07-05-2021
Kallakurichi,60666,07-05-2021
Kancheepuram,72703,07-05-2021
Kanniyakumari,126463,07-05-2021
Karur,61191,07-05-2021
Krishnagiri,144194,07-05-2021
Madurai,242430,07-05-2021
Nagapattinam,63045,07-05-2021
Namakkal,155035,07-05-2021
The Nilgiris,146772,07-05-2021
Perambalur,36227,07-05-2021
Pudukkottai,88261,07-05-2021
Ramanathapuram,75784,07-05-2021
Ranipet,49787,07-05-2021
Salem,368246,07-05-2021
Sivagangai,72056,07-05-2021
Tenkasi,65835,07-05-2021
Thanjavur,149709,07-05-2021
Theni,62498,07-05-2021
Thoothukudi,84973,07-05-2021
Tiruchirapalli,227388,07-05-2021
Tirunelveli,79155,07-05-2021
Tirupathur,71732,07-05-2021
Tiruppur,144543,07-05-2021
Tiruvallur,195525,07-05-2021
Tiruvannamalai,87674,07-05-2021
Tiruvarur,48752,07-05-2021
Vellore,177885,07-05-2021
Villupuram,111967,07-05-2021
Virudhunagar,199477,07-05-2021
Ariyalur,23440,08-04-2021
Chengalpattu,140524,08-04-2021
Chennai,880000,08-04-2021
Coimbatore,216229,08-04-2021
Cuddalore,83523,08-04-2021
Dharmapuri,53016,08-04-2021
Dindigul,72878,08-04-2021
Erode,76682,08-04-2021
Kallakurichi,35428,08-04-2021
Kancheepuram,39361,08-04-2021
Kanniyakumari,65687,08-04-2021
Karur,37451,08-04-2021
Krishnagiri,89696,08-04-2021
Madurai,139355,08-04-2021
Nagapattinam,34587,08-04-2021
Namakkal,87684,08-04-2021
The Nilgiris,81060,08-04-2021
Perambalur,21985,08-04-2021
Pudukkottai,47240,08-04-2021
Ramanathapuram,38426,08-04-2021
Ranipet,25486,08-04-2021
Salem,213877,08-04-2021
Sivagangai,40847,08-04-2021
Tenkasi,36893,08-04-2021
Thanjavur,87810,08-04-2021
Theni,30976,08-04-2021
Thoothukudi,41730,08-04-2021
Tiruchirapalli,125851,08-04-2021
Tirunelveli,42537,08-04-2021
Tirupathur,35109,08-04-2021
