District,Total,Date,Population,Vac,,,,,
Vellore,938,02-06-2021,"16,14,242",58.10776823,,,,,
Villupuram,1329,02-06-2021,"20,93,003",63.49728118,,,,,
Virudhunagar,686,02-06-2021,"19,43,309",35.30061354,,,,,
Ariyalur,22173,03-04-2021,"7,52,481",2946.652474,,,,,
Chengalpattu,128142,03-04-2021,"25,56,244",5012.901742,,,,,
Chennai,811559,03-04-2021,"71,00,000",11430.40845,,,,,
Coimbatore,207400,03-04-2021,"34,72,578",5972.508033,,,,,
Cuddalore,76977,03-04-2021,"26,00,880",2959.652118,,,,,
Dharmapuri,50870,03-04-2021,"15,02,900",3384.789407,,,,,
Dindigul,67017,03-04-2021,"21,61,367",3100.676563,,,,,
Erode,70812,03-04-2021,"22,59,608",3133.817901,,,,,
Kallakurichi,33063,03-04-2021,"13,70,281",2412.862763,,,,,
Kancheepuram,36662,03-04-2021,"11,66,401",3143.172888,,,,,
Kanniyakumari,60728,03-04-2021,"18,63,178",3259.377258,,,,,
Karur,35235,03-04-2021,"10,76,588",3272.839749,,,,,
Krishnagiri,84422,03-04-2021,"18,83,731",4481.637771,,,,,
Madurai,127587,03-04-2021,"39,91,038",3196.837514,,,,,
Nagapattinam,32256,03-04-2021,"16,14,069",1998.427577,,,,,
Namakkal,82807,03-04-2021,"7,35,071",11265.1703,,,,,
The Nilgiris,74179,03-04-2021,"24,71,222",3001.713322,,,,,
Perambalur,21154,03-04-2021,"17,21,179",1229.041256,,,,,
Pudukkottai,43856,03-04-2021,"5,64,511",7768.847728,,,,,
Ramanathapuram,34366,03-04-2021,"19,18,725",1791.085226,,,,,
Ranipet,23884,03-04-2021,"13,37,560",1785.639523,,,,,
Salem,198852,03-04-2021,"12,10,277",16430.28827,,,,,
Sivagangai,37775,03-04-2021,"34,80,008",1085.48601,,,,,
Tenkasi,34856,03-04-2021,"13,41,250",2598.769804,,,,,
Thanjavur,81683,03-04-2021,"14,07,627",5802.886702,,,,,
Theni,28608,03-04-2021,"27,13,858",1054.145058,,,,,
Thoothukudi,38328,03-04-2021,"12,43,684",3081.811779,,,,,
Tiruchirapalli,116352,03-04-2021,"16,65,253",6987.046413,,,,,
Tirunelveli,39058,03-04-2021,"24,02,781",1625.53308,,,,,
Tirupathur,32320,03-04-2021,"17,38,376",1859.206524,,,,,
Tiruppur,69187,03-04-2021,"11,11,812",6222.904592,,,,,
Tiruvallur,92743,03-04-2021,"37,25,697",2489.279187,,,,,
Tiruvannamalai,46184,03-04-2021,"12,68,094",3642.001303,,,,,
Tiruvarur,21832,03-04-2021,"24,68,965",884.2571685,,,,,
Vellore,90261,03-04-2021,"16,14,242",5591.540797,,,,,
Villupuram,74450,03-04-2021,"20,93,003",3557.08998,,,,,
Virudhunagar,113494,03-04-2021,"19,43,309",5840.244655,,,,,
Ariyalur,664,03-05-2021,"7,52,481",88.24143068,,,,,
Chengalpattu,3369,03-05-2021,"25,56,244",131.7949304,,,,,
Chennai,11799,03-05-2021,"71,00,000",166.1830986,,,,,
Coimbatore,3407,03-05-2021,"34,72,578",98.1115471,,,,,
Cuddalore,2363,03-05-2021,"26,00,880",90.85386485,,,,,
Dharmapuri,212,03-05-2021,"15,02,900",14.10606161,,,,,
Dindigul,2362,03-05-2021,"21,61,367",109.2826901,,,,,
Erode,4025,03-05-2021,"22,59,608",178.1282417,,,,,
Kallakurichi,621,03-05-2021,"13,70,281",45.31917176,,,,,
Kancheepuram,775,03-05-2021,"11,66,401",66.44370161,,,,,
Kanniyakumari,2301,03-05-2021,"18,63,178",123.4986673,,,,,
Karur,1263,03-05-2021,"10,76,588",117.3150732,,,,,
Krishnagiri,3477,03-05-2021,"18,83,731",184.5804948,,,,,
Madurai,3352,03-05-2021,"39,91,038",83.98817551,,,,,
Nagapattinam,1006,03-05-2021,"16,14,069",62.32695133,,,,,
Namakkal,2546,03-05-2021,"7,35,071",346.3610998,,,,,
The Nilgiris,1925,03-05-2021,"24,71,222",77.89668431,,,,,
Perambalur,547,03-05-2021,"17,21,179",31.78054113,,,,,
Pudukkottai,1175,03-05-2021,"5,64,511",208.1447483,,,,,
Ramanathapuram,1083,03-05-2021,"19,18,725",56.44373217,,,,,
Ranipet,974,03-05-2021,"13,37,560",72.81916325,,,,,
Salem,7162,03-05-2021,"12,10,277",591.7653562,,,,,
Sivagangai,1055,03-05-2021,"34,80,008",30.31602226,,,,,
Tenkasi,1683,03-05-2021,"13,41,250",125.4799627,,,,,
Thanjavur,1690,03-05-2021,"14,07,627",120.0602148,,,,,
Theni,1098,03-05-2021,"27,13,858",40.45900707,,,,,
Thoothukudi,1093,03-05-2021,"12,43,684",87.88406058,,,,,
